complexity,loss,equation,score,sympy_format,lambda_format
1,0.16107777,1.0620389,0.0,1.06203890000000,PySRFunction(X=>1.06203890000000)
5,0.13682954,(3.7897282 - s_m1) * 0.38065848,0.0407878435711415,(3.7897282 - s_m1)*0.38065848,PySRFunction(X=>(3.7897282 - s_m1)*0.38065848)
6,0.13682953,abs(1.442599 - (s_m1 * 0.3805954)),7.308363648203047e-08,Abs(s_m1*0.3805954 - 1.442599),PySRFunction(X=>Abs(s_m1*0.3805954 - 1.442599))
8,0.13461207,abs(-1.3862702 - ((s_m1 * -0.34429488) * s_m2)),0.008169379085421995,Abs(s_m1*(-0.34429488)*s_m2 + 1.3862702),PySRFunction(X=>Abs(s_m1*(-0.34429488)*s_m2 + 1.3862702))
11,0.13020252,sqrt((s_m3 + -2.874168) / ((s_m1 * -0.63496983) - s_m2)),0.011102000623285558,sqrt((s_m3 - 2.874168)/(-0.63496983*s_m1 - s_m2)),PySRFunction(X=>sqrt((s_m3 - 2.874168)/(-0.63496983*s_m1 - s_m2)))
13,0.12661192,sqrt(sqrt((s_m3 + -2.874168) / (s_m1 * (-0.63496983 - s_m2)))),0.013982212164880785,((s_m3 - 2.874168)/(s_m1*(-s_m2 - 0.63496983)))**(1/4),PySRFunction(X=>((s_m3 - 2.874168)/(s_m1*(-s_m2 - 0.63496983)))**(1/4))
14,0.12208822,sqrt(sqrt(abs((s_m3 - (3.9995422 / s_m1)) / exp(s_m2)))),0.03638276193026402,exp(-re(s_m2)/4)*Abs(s_m3 - 3.9995422/s_m1)**(1/4),PySRFunction(X=>exp(-re(s_m2)/4)*Abs(s_m3 - 3.9995422/s_m1)**(1/4))
18,0.12199818,sqrt(sqrt(abs(((((s_m2 + -2.282988) * -3.4334545) / s_m1) / exp(s_m3)) - 0.37874413))),0.0001844428941639457,Abs(0.37874413 + (3.4334545*s_m2 - 7.838535422046)*exp(-s_m3)/s_m1)**(1/4),PySRFunction(X=>Abs(0.37874413 + (3.4334545*s_m2 - 7.838535422046)*exp(-s_m3)/s_m1)**(1/4))
19,0.11808225,-0.6347304 + sqrt(sqrt(exp(((s_m2 + -3.1917243) / -0.32411742) / (s_m3 - -2.416649)) / s_m1)),0.03262471104052539,(exp((9.84743214357315 - 3.08530161692636*s_m2)/(s_m3 + 2.416649))/s_m1)**(1/4) - 0.6347304,PySRFunction(X=>(exp((9.84743214357315 - 3.08530161692636*s_m2)/(s_m3 + 2.416649))/s_m1)**(1/4) - 0.6347304)
20,0.118053146,sqrt(sqrt(abs(exp(((s_m2 + -3.2927773) / -0.3320408) / (s_m3 - -2.3887222)) / s_m1))) + -0.65990466,0.00024650264755206373,(exp(-(3.01167808293439*re(s_m2) - 9.91678522639386)*(re(s_m3) + 2.3887222)/(5.70599374877284*(0.418633862070692*re(s_m3) + 1)**2 + im(s_m3)**2) - 3.01167808293439*im(s_m2)*im(s_m3)/(5.70599374877284*(0.418633862070692*re(s_m3) + 1)**2 + im(s_m3)**2))/Abs(s_m1))**(1/4) - 0.65990466,PySRFunction(X=>(exp(-(3.01167808293439*re(s_m2) - 9.91678522639386)*(re(s_m3) + 2.3887222)/(5.70599374877284*(0.418633862070692*re(s_m3) + 1)**2 + im(s_m3)**2) - 3.01167808293439*im(s_m2)*im(s_m3)/(5.70599374877284*(0.418633862070692*re(s_m3) + 1)**2 + im(s_m3)**2))/Abs(s_m1))**(1/4) - 0.65990466)
